Height_km, Temperature_K, N2_nDensity_m3, O2_nDensity_m3, N_nDensity_m3, O_nDensity_m3
0.0, 300.3, 1.9097135435129388e+25, 5.121568994261787e+24, 0.0, 0.0
1.0, 294.0, 1.7484311223966726e+25, 4.6883995540291164e+24, 0.0, 0.0
2.0, 288.2, 1.588805245136343e+25, 4.2595556675569984e+24, 0.0, 0.0
3.0, 283.1, 1.4392382019924235e+25, 3.859382920066293e+24, 0.0, 0.0
4.0, 277.7, 1.301517878955328e+25, 3.489175590390879e+24, 0.0, 0.0
5.0, 272.4, 1.1733952158887903e+25, 3.146028579723083e+24, 0.0, 0.0
6.0, 267.2, 1.0556925586592178e+25, 2.8302744867318435e+24, 0.0, 0.0
7.0, 261.4, 9.491528021741021e+24, 2.5448231372266067e+24, 0.0, 0.0
8.0, 255.0, 8.535161777236761e+24, 2.2881834449178333e+24, 0.0, 0.0
9.0, 247.6, 7.676824774431325e+24, 2.0586900411225915e+24, 0.0, 0.0
10.0, 240.0, 6.898540645732537e+24, 1.8494878724840298e+24, 0.0, 0.0
11.0, 232.0, 6.182101046720007e+24, 1.657688927869995e+24, 0.0, 0.0
12.0, 224.2, 5.51038407546521e+24, 1.4775725277179423e+24, 0.0, 0.0
13.0, 216.6, 4.889704423104773e+24, 1.311141442283325e+24, 0.0, 0.0
14.0, 209.3, 4.3184157245130696e+24, 1.1579542098010644e+24, 0.0, 0.0
15.0, 203.0, 3.7701761376801107e+24, 1.0109474420299038e+24, 0.0, 0.0
16.0, 197.1, 3.2729738697415106e+24, 8.776259889761785e+23, 0.0, 0.0
17.0, 193.4, 2.807052539189777e+24, 7.526923094589458e+23, 0.0, 0.0
18.0, 194.5, 2.3411312086380425e+24, 6.27758629941713e+23, 0.0, 0.0
19.0, 196.5, 1.9460035784881618e+24, 5.218078063228586e+23, 0.0, 0.0
20.0, 200.8, 1.6078401816848892e+24, 4.311315597757223e+23, 0.0, 0.0
21.0, 204.6, 1.3348728438563465e+24, 3.579371991256969e+23, 0.0, 0.0
22.0, 207.2, 1.1208453775251613e+24, 3.005471696654841e+23, 0.0, 0.0
23.0, 209.9, 9.41226942319528e+23, 2.523836910954131e+23, 0.0, 0.0
24.0, 212.6, 7.90913806350011e+23, 2.120782319437405e+23, 0.0, 0.0
25.0, 215.5, 6.671071489030485e+23, 1.7888030720983276e+23, 0.0, 0.0
26.0, 218.5, 5.62727599938455e+23, 1.5089163130385202e+23, 0.0, 0.0
27.0, 220.6, 4.77939795968793e+23, 1.2815635040230614e+23, 0.0, 0.0
28.0, 222.5, 4.078046416171892e+23, 1.0935007920995946e+23, 0.0, 0.0
29.0, 224.8, 3.4721840499420756e+23, 9.310428625506842e+22, 0.0, 0.0
30.0, 227.4, 2.9585181307472303e+23, 7.933067918461733e+22, 0.0, 0.0
31.0, 230.4, 2.5205850073311136e+23, 6.7587796233527625e+22, 0.0, 0.0
32.0, 233.1, 2.1550919494424738e+23, 5.778734504878357e+22, 0.0, 0.0
33.0, 235.8, 1.845575305825067e+23, 4.948786386530664e+22, 0.0, 0.0
34.0, 238.5, 1.583309341313084e+23, 4.245537794760517e+22, 0.0, 0.0
35.0, 241.2, 1.3605561398160889e+23, 3.648240026609225e+22, 0.0, 0.0
36.0, 243.8, 1.171224150369271e+23, 3.1405589967688796e+22, 0.0, 0.0
37.0, 246.4, 1.0097157315455074e+23, 2.7074850052268123e+22, 0.0, 0.0
38.0, 249.1, 8.719149705307366e+22, 2.337981507856057e+22, 0.0, 0.0
39.0, 251.7, 7.540352275360221e+22, 2.0218948840598077e+22, 0.0, 0.0
40.0, 254.3, 6.531130453352401e+22, 1.7512788220666498e+22, 0.0, 0.0
41.0, 256.3, 5.6832524136557826e+22, 1.5239260130511914e+22, 0.0, 0.0
42.0, 258.2, 4.948973567627254e+22, 1.3270340658261532e+22, 0.0, 0.0
43.0, 260.2, 4.315122994261821e+22, 1.1570712862709072e+22, 0.0, 0.0
44.0, 262.1, 3.7652370423032373e+22, 1.0096230567346681e+22, 0.0, 0.0
45.0, 264.1, 3.2894375209977562e+22, 8.820406066269642e+21, 0.0, 0.0
46.0, 264.9, 2.887724430345377e+22, 7.743239359477952e+21, 0.0, 0.0
47.0, 265.8, 2.5370486585873582e+22, 6.802925799860619e+21, 0.0, 0.0
48.0, 266.6, 2.229178380095576e+22, 5.977392299163711e+21, 0.0, 0.0
49.0, 267.5, 1.959174499493158e+22, 5.253395004434872e+21, 0.0, 0.0
50.0, 268.4, 1.723744286528854e+22, 4.622104680372529e+21, 0.0, 0.0
51.0, 267.6, 1.5250280158659766e+22, 4.0892603299227065e+21, 0.0, 0.0
52.0, 266.9, 1.3488669474241548e+22, 3.616896241288647e+21, 0.0, 0.0
53.0, 266.1, 1.1926268970023896e+22, 3.1979490262290934e+21, 0.0, 0.0
54.0, 265.4, 1.0541675899373687e+22, 2.8266796817980237e+21, 0.0, 0.0
55.0, 264.6, 9.316780245909059e+21, 2.4982321285795744e+21, 0.0, 0.0
56.0, 262.3, 8.279570216765623e+21, 2.2201112165800812e+21, 0.0, 0.0
57.0, 259.9, 7.351020285913404e+21, 1.9711267810757732e+21, 0.0, 0.0
58.0, 257.5, 6.519605897473029e+21, 1.7481885897110997e+21, 0.0, 0.0
59.0, 255.2, 5.775448860690755e+21, 1.5486478718955907e+21, 0.0, 0.0
60.0, 252.8, 5.110317349938456e+21, 1.370297318803852e+21, 0.0, 0.0
61.0, 249.9, 4.5291504605930067e+21, 1.2144613157311202e+21, 0.0, 0.0
62.0, 246.9, 4.0072527157700387e+21, 1.0745179362012164e+21, 0.0, 0.0
63.0, 244.0, 3.5413313852183046e+21, 9.495842566839839e+20, 0.0, 0.0
64.0, 241.1, 3.124801008435306e+21, 8.37894430119108e+20, 0.0, 0.0
65.0, 238.2, 2.752722490044168e+21, 7.381240712113534e+20, 0.0, 0.0
66.0, 234.6, 2.420156734668019e+21, 6.48948794665484e+20, 0.0, 0.0
67.0, 231.1, 2.1254573771812325e+21, 5.699271387164217e+20, 0.0, 0.0
68.0, 227.6, 1.862038957081312e+21, 4.99293256303852e+20, 0.0, 0.0
69.0, 224.1, 1.627596563192383e+21, 4.36429100956665e+20, 0.0, 0.0
70.0, 220.5, 1.4196606478260083e+21, 3.806724800272428e+20, 0.0, 0.0
71.0, 218.1, 1.2316457504796901e+21, 3.3025754645527115e+20, 0.0, 0.0
72.0, 215.7, 1.0666799648921151e+21, 2.8602307759439938e+20, 0.0, 0.0
73.0, 213.3, 9.222937433748463e+20, 2.4730688079700964e+20, 0.0, 0.0
74.0, 210.9, 7.961821747520094e+20, 2.134909095919919e+20, 0.0, 0.0
75.0, 208.4, 6.860403478477301e+20, 1.839571175082362e+20, 0.0, 0.0
76.0, 207.4, 5.877523498479474e+20, 1.5760185013304613e+20, 0.0, 0.0
77.0, 206.4, 5.0312918239084786e+20, 1.349107154080081e+20, 0.0, 0.0
78.0, 205.4, 4.303598438382449e+20, 1.1539810539153573e+20, 0.0, 0.0
79.0, 204.3, 3.677979690645138e+20, 9.862255831855043e+19, 0.0, 0.0
80.0, 203.3, 3.139618294565926e+20, 8.41867586004815e+19, 0.0, 0.0
81.0, 202.5, 2.696134165906326e+20, 7.161216673319648e+19, 0.0, 0.0
82.0, 201.6, 2.314679042067917e+20, 6.092324980993411e+19, 0.0, 5.34180182463254e+16
83.0, 200.8, 1.9848831744623854e+20, 5.176721070387734e+19, 0.0, 4.571056132792702e+16
84.0, 199.9, 1.700115954118874e+20, 4.394031630170317e+19, 0.0, 3.9075425790754264e+16
85.0, 199.1, 1.4559361692689849e+20, 3.726662304826117e+19, 0.0, 3.3393031405251948e+16
86.0, 198.2, 1.2355917842479147e+20, 3.131595824304288e+19, 0.0, 5.655252052919709e+16
87.0, 197.3, 1.0476273783241117e+20, 2.62812564453323e+19, 0.0, 7.177402761583697e+16
88.0, 196.5, 8.874292141625991e+19, 2.204703342035892e+19, 0.0, 1.0113318082733451e+17
89.0, 195.6, 7.510695396109163e+19, 1.847160428443774e+19, 0.0, 1.3670012421415533e+17
90.0, 194.7, 6.348108498030156e+19, 1.5456264169116903e+19, 0.0, 2.0185419623846707e+17
91.0, 192.8, 5.329929273217542e+19, 1.2877843620240028e+19, 0.0, 2.536911032129836e+17
92.0, 190.9, 4.464960366872596e+19, 1.0700070048232733e+19, 0.0, 3.23631608264128e+17
93.0, 189.0, 3.727435245027126e+19, 8.865081882911393e+18, 0.0, 4.1370382120253165e+17
94.0, 187.2, 3.1031862396021703e+19, 7.320939564873419e+18, 0.0, 4.9931480221518995e+17
95.0, 185.5, 2.5754146348101263e+19, 6.024493523734178e+18, 0.0, 5.843349683544305e+17
96.0, 186.0, 2.1402220411108536e+19, 4.913456762235416e+18, 0.0, 6.357163810892242e+17
97.0, 186.7, 1.775392360890072e+19, 4.0014187765849697e+18, 0.0, 6.762961312537976e+17
98.0, 187.5, 1.4716882887341773e+19, 3.256878234256329e+18, 0.0, 7.011219161392404e+17
99.0, 188.6, 1.2192324507775769e+19, 2.651150240506329e+18, 0.0, 7.032816303797468e+17
100.0, 190.1, 1.009492647965642e+19, 2.1568968159018985e+18, 0.0, 6.910334662974683e+17
101.0, 193.4, 8.313628500987442e+18, 1.743668216085173e+18, 0.0, 6.373277536016305e+17
102.0, 197.0, 6.862974727612103e+18, 1.4124601640838653e+18, 0.0, 5.824738985110908e+17
103.0, 201.1, 5.679345655913551e+18, 1.148133621606564e+18, 0.0, 5.288137964381584e+17
104.0, 205.6, 4.712190756414246e+18, 9.359368858893843e+17, 0.0, 4.776283419963028e+17
105.0, 210.8, 3.920692470045149e+18, 7.654849454264586e+17, 0.0, 4.307807865680714e+17
106.0, 218.4, 3.24758256442889e+18, 6.227176137945434e+17, 0.0, 3.811046596603564e+17
107.0, 226.3, 2.70579013701798e+18, 5.098899447655301e+17, 0.0, 3.391045581874747e+17
108.0, 234.7, 2.2693563637397632e+18, 4.204618786965423e+17, 0.0, 3.0306354356232934e+17
109.0, 243.5, 1.9136278139074952e+18, 3.488020473076244e+17, 0.0, 2.7092691854663507e+17
110.0, 252.9, 1.6227895556904087e+18, 2.9154045840644576e+17, 0.0, 2.4285782947889315e+17
111.0, 264.2, 1.3765719279711432e+18, 2.428795716137947e+17, 0.0, 2.1774326407291034e+17
112.0, 275.6, 1.1764530168859999e+18, 2.0437435176193123e+17, 0.0, 1.959091419256382e+17
113.0, 287.1, 1.0120216011988818e+18, 1.733543274662094e+17, 0.0, 1.7682604296953802e+17
114.0, 298.7, 8.753236096707287e+17, 1.4826939350328947e+17, 0.0, 1.6019911481964608e+17
115.0, 310.6, 7.604220042762117e+17, 1.276803801448171e+17, 0.0, 1.4574588847699562e+17
116.0, 322.9, 6.63221810109093e+17, 1.1063143197158976e+17, 0.0, 1.327577183659077e+17
117.0, 335.4, 5.806780328726819e+17, 9.639370179839362e+16, 0.0, 1.2124572637601976e+17
118.0, 348.1, 5.100416498842009e+17, 8.447564826207078e+16, 0.0, 1.1098128492850669e+17
119.0, 361.1, 4.491863238265409e+17, 7.44022614568653e+16, 0.0, 1.0174222288982282e+17
120.0, 374.4, 3.966449894334307e+17, 6.581457788756668e+16, 0.0, 9.342617521636309e+16
121.0, 388.0, 3.5207242443949414e+17, 5.773874962273642e+16, 0.0, 8.595013298541248e+16
122.0, 401.9, 3.1362200549381485e+17, 5.086867556006739e+16, 0.0, 7.927585801568944e+16
123.0, 415.8, 2.8035785259955754e+17, 4.497297635508849e+16, 0.0, 7.324546149059734e+16
124.0, 429.9, 2.5158015088343034e+17, 3.990587528280543e+16, 0.0, 6.786954788838613e+16
125.0, 444.1, 2.2641213230225747e+17, 3.555968264663752e+16, 0.0, 6.301580942777445e+16
126.0, 458.3, 2.0455782254127782e+17, 3.181045157035176e+16, 0.0, 5.86972824120603e+16
127.0, 472.4, 1.853818478401309e+17, 2.854003650700935e+16, 0.0, 5.47565370157522e+16
128.0, 486.5, 1.6834248665917834e+17, 2.5677188512673336e+16, 0.0, 5.115486507109124e+16
129.0, 500.6, 1.5348467615495565e+17, 2.320971268695374e+16, 0.0, 4.7950938229920136e+16
130.0, 514.5, 1.4029944147991477e+17, 2.101437069111664e+16, 0.0, 4.500215790291591e+16
131.0, 528.4, 1.2855778587212306e+17, 1.910087806661812e+16, 0.0, 4.231343109054841e+16
132.0, 542.1, 1.181060602969974e+17, 1.7390976103541124e+16, 0.0, 3.989611414817232e+16
133.0, 555.6, 1.0876847238132298e+17, 1.5885980463258182e+16, 0.0, 3.76411655311684e+16
134.0, 569.1, 1.003672580814329e+17, 1.4550425757718372e+16, 0.0, 3.559183746705572e+16
135.0, 582.3, 9.285905907379518e+16, 1.3349848545745484e+16, 0.0, 3.370473077936747e+16
136.0, 595.3, 8.606643916721643e+16, 1.2279291256996034e+16, 0.0, 3.1961508318379172e+16
137.0, 608.2, 7.992066673358763e+16, 1.1325966579251154e+16, 0.0, 3.0357462557719336e+16
