ElapsedTime_s,Height_km,Latitude_deg,LongitudeE_deg,TotalRadius_km,LatitudeRadius_km,Gravity_ms2,Temperature_K,Pressure_Pa,Density_kgm3,PressureScaleHeight_km,DensityScaleHeight_km,SpeedOfSound_ms,PressureAtSurface_Pa,SigmaLevel,PressureAltitude_km,ReferenceTemperature_K,ReferencePressure_Pa,ReferenceDensity_kgm3,ProfileWeight,LowDensity_kgm3,HighDensity_kgm3,PerturbedDensity_kgm3,DensityPerturbation_pct,DensityStandardDeviation_pct,PerturbedSpeedOfSound_ms,RelativeStepSize,DensityDeviation_pct,LowDensityDeviation_pct,HighDensityDeviation_pct,PerturbedDensityDeviation_pct,EWWind_ms,NSWind_ms,VerticalWind_ms,EWWindPerturbation_ms,NSWindPerturbation_ms,VerticalWindPerturbation_ms,PerturbedEWWind_ms,PerturbedNSWind_ms,PerturbedVerticalWind_ms,EWStandardDeviation_ms,NSStandardDeviation_ms,VerticalStandardDeviation_ms,LongitudeOfTheSun,SubsolarLatitude_deg,SubsolarLongitudeE_deg,LocalSolarTime_hr,SolarZenithAngle_deg,OneWayLightTime_min,OrbitalRadius_AU,SecondsPerSol,TotalNumberDensity_m3,SpecificGasConstant_JkgK,SpecificHeatRatio,AverageMolecularWeight,CompressibilityFactor,Arnd_m3,Armass_pct,Armole_pct,Aramw,CO2nd_m3,CO2mass_pct,CO2mole_pct,CO2amw,COnd_m3,COmass_pct,COmole_pct,COamw,N2nd_m3,N2mass_pct,N2mole_pct,N2amw,O2nd_m3,O2mass_pct,O2mole_pct,O2amw,Hend_m3,Hemass_pct,Hemole_pct,Heamw,Hnd_m3,Hmass_pct,Hmole_pct,Hamw,CH4nd_m3,CH4mass_pct,CH4mole_pct,CH4amw,Nnd_m3,Nmass_pct,Nmole_pct,Namw,Ond_m3,Omass_pct,Omole_pct,Oamw,O3nd_m3,O3mass_pct,O3mole_pct,O3amw,N2Ond_m3,N2Omass_pct,N2Omole_pct,N2Oamw,H2Ond_m3,H2Omass_pct,H2Omole_pct,H2Oamw,TemperaturePerturbation_pct,TemperatureStandardDeviation_pct,PerturbedTemperature_K,PressurePerturbation_pct,PressureStandardDeviation_pct,PerturbedPressure_Pa,PresPertSmall_pct,DensPertSmall_pct,TempPertSmall_pct,EWWindPertSmall_ms,NSWindPertSmall_ms,PresSDSmall_pct,DensSDSmall_pct,TempSDSmall_pct,EWWindSDSmall_ms,NSWindSDSmall_ms,PresPertLarge_pct,DensPertLarge_pct,TempPertLarge_pct,EWWindPertLarge_ms,NSWindPertLarge_ms,PresSDLarge_pct,DensSDLarge_pct,TempSDLarge_pct,EWWindSDLarge_ms,NSWindSDLarge_ms,DewPoint_K,DewPointSD_pct,VaporPressure_Pa,VaporPressureSD_pct,VaporDensity_kgm3,VaporDensitySD_pct,RelativeHumidity_pct,RelativeHumiditySD_pct,WindSpeed_ms,WindSpeedStandardDeviation_pct,WindCorrelation,WindSpeedAtSurface_ms,WindSpeedSDAtSurface_pct,TemperatureAtSurface_K,TemperatureSDAtSurface_pct,PressureSDAtSurface_Pa,DensitySDAtSurface_pct,DensityAtSurface_kgm3,EWWindAtSurface_ms,NSWindAtSurface_ms,EWWindSDAtSurface_pct,NSWindSDAtSurface_pct,WindCorrelationAtSurface_pct,SurfaceHeight_km,GeodeticLatitude_deg,RRAWeight,SurfaceRoughness_m,NetRadiationIndex,Stability,InverseLength_m,FrictionVelocity_ms,BVFrequencySquare_s2,MetersAboveSurface_m,SigmaRatio,SigmaW_ms,BoundaryLayerDepth_m,NeutralBoundaryLayerDepth_m,PerturbedWindSpeedAtSurface_ms,UnstableBLFactor,SolarDays,SolarHourAngle_deg,SolarElevation_deg,ElevationAtMidnight_deg,ElevationAtNoon_deg,LandCode,SeverityLevel
0.0,0.000,0.00,0.00,6378.137,6378.137,9.780,300.3,1.011e+05,1.160e+00,8.914,10.966,344.5,1.011e+05,1.000,-0.000,288.1,1.013e+05,1.225e+00,0.0,1.156e+00,1.164e+00,1.158e+00,-0.2,0.35,344.9,0.00,-5.3,-5.7,-5.0,-5.5,1.3,3.8,0.000,0.4,0.5,-0.165,1.7,4.3,-0.165,2.2,2.1,0.100,280.06,-22.92,165.89,0.94,153.17,0.00,0.98,86400.0,2.4384e+25,2.903e+02,1.362e+00,28.626,0.9995,2.2065e+23,1.26,0.90,39.95,9.7092e+21,0.06,0.04,44.01,4.8167e+18,0.00,0.00,28.01,1.8447e+25,74.03,75.65,28.01,4.9486e+24,22.69,20.29,32.00,1.2285e+20,0.00,0.00,4.00,0.0000e+00,0.00,0.00,1.01,5.9570e+19,0.00,0.00,16.04,0.0000e+00,0.00,0.00,14.01,0.0000e+00,0.00,0.00,16.00,7.5015e+17,0.00,0.00,48.00,8.6249e+18,0.00,0.00,44.01,7.5807e+23,1.96,3.11,18.02,0.2,0.25,3.009e+02,0.0,0.19,1.011e+05,-0.0,0.1,-0.1,-0.3,1.8,0.0,0.2,0.1,1.8,1.7,0.0,-0.2,0.2,0.7,-1.2,0.2,0.3,0.2,1.2,1.2,297.35,1.1,3.048e+03,2.183e+02,2.199e-02,0.0,83.7,4.5,4.7,1.8,-0.0,4.72,1.77,300.31,0.19,0.00,0.00,1.160e+00,1.35,3.77,2.20,2.11,-0.0,0.000,0.00,0.0,0.00002,-2.84,5.84,0.12004,0.067,0.00011,0.0,1.250,0.10,200.0,164.0,3.24,1.000,1.039,-165.89,-63.2,-66.9,66.9,0,0
0.0,1.000,0.00,0.00,6379.137,6378.137,9.777,294.0,9.022e+04,1.062e+00,8.689,10.717,342.4,1.011e+05,0.892,0.990,281.7,8.988e+04,1.112e+00,0.0,1.059e+00,1.065e+00,1.061e+00,-0.1,0.31,342.8,0.00,-4.5,-4.8,-4.2,-4.5,0.8,2.1,-0.007,3.3,0.1,0.089,4.1,2.2,0.082,3.5,2.4,0.272,280.06,-22.92,165.89,0.94,153.17,0.00,0.98,86400.0,2.2226e+25,2.890e+02,1.380e+00,28.770,0.9999,2.0386e+23,1.27,0.92,39.95,8.9701e+21,0.06,0.04,44.01,4.3017e+18,0.00,0.00,28.01,1.7042e+25,74.66,76.68,28.01,4.5719e+24,22.88,20.57,32.00,1.1350e+20,0.00,0.00,4.00,0.0000e+00,0.00,0.00,1.01,5.5035e+19,0.00,0.00,16.04,0.0000e+00,0.00,0.00,14.01,0.0000e+00,0.00,0.00,16.00,7.5555e+17,0.00,0.00,48.00,7.9683e+18,0.00,0.00,44.01,3.9873e+23,1.12,1.79,18.02,0.2,0.31,2.946e+02,0.1,0.14,9.032e+04,-0.0,0.1,-0.1,1.7,1.4,0.0,0.2,0.2,2.9,2.0,0.1,-0.1,0.3,1.6,-1.3,0.1,0.3,0.3,2.0,1.4,286.94,1.6,1.590e+03,1.658e+02,1.172e-02,0.0,64.6,7.9,4.5,2.2,-0.1,4.72,1.77,300.31,74.80,0.00,0.00,1.160e+00,1.35,3.77,2.20,2.11,-0.0,0.000,0.00,0.0,0.00002,-2.84,5.84,0.12004,0.067,0.00011,200.0,3.000,0.20,200.0,164.0,3.24,1.000,1.039,-165.89,-63.2,-66.9,66.9,0,0
0.0,2.000,0.00,0.00,6380.137,6378.137,9.774,288.2,8.027e+04,9.650e-01,8.511,10.039,339.7,1.011e+05,0.794,1.964,275.2,7.950e+04,1.007e+00,0.0,9.618e-01,9.681e-01,9.648e-01,-0.0,0.33,340.0,0.00,-4.1,-4.4,-3.8,-4.1,-1.9,-0.6,-0.005,2.8,-1.1,-0.170,0.9,-1.7,-0.174,3.8,2.5,0.361,280.06,-22.92,165.89,0.94,153.17,0.00,0.98,86400.0,2.0173e+25,2.886e+02,1.387e+00,28.817,1.0004,1.8584e+23,1.28,0.92,39.95,8.1775e+21,0.06,0.04,44.01,3.7864e+18,0.00,0.00,28.01,1.5537e+25,74.87,77.02,28.01,4.1679e+24,22.94,20.66,32.00,1.0347e+20,0.00,0.00,4.00,0.0000e+00,0.00,0.00,1.01,5.0172e+19,0.00,0.00,16.04,0.0000e+00,0.00,0.00,14.01,0.0000e+00,0.00,0.00,16.00,7.2543e+17,0.00,0.00,48.00,7.2642e+18,0.00,0.00,44.01,2.7388e+23,0.85,1.36,18.02,0.2,0.31,2.887e+02,0.1,0.14,8.038e+04,0.0,0.0,-0.0,0.6,-0.6,0.0,0.2,0.2,3.2,2.1,0.1,-0.1,0.2,2.2,-0.5,0.1,0.3,0.3,2.2,1.4,281.10,2.0,1.075e+03,1.357e+02,8.083e-03,0.0,63.3,9.6,5.0,2.6,0.1,4.72,1.77,300.31,74.80,0.00,0.00,1.160e+00,1.35,3.77,2.20,2.11,-0.0,0.000,0.00,0.0,0.00002,-2.84,5.84,0.12004,0.067,0.00011,200.0,3.000,0.20,200.0,164.0,3.24,1.000,1.039,-165.89,-63.2,-66.9,66.9,0,0
0.0,3.000,0.00,0.00,6381.137,6378.137,9.771,283.1,7.131e+04,8.742e-01,8.348,9.844,337.0,1.011e+05,0.705,2.914,268.7,7.012e+04,9.092e-01,0.0,8.713e-01,8.771e-01,8.765e-01,0.3,0.33,336.8,0.00,-3.9,-4.2,-3.5,-3.6,-6.1,-1.6,-0.015,7.0,-0.4,-0.621,1.0,-2.1,-0.636,4.1,2.8,0.451,280.06,-22.92,165.89,0.94,153.17,0.00,0.98,86400.0,1.8245e+25,2.881e+02,1.393e+00,28.860,1.0001,1.6875e+23,1.28,0.92,39.95,7.4253e+21,0.06,0.04,44.01,3.3153e+18,0.00,0.00,28.01,1.4107e+25,75.05,77.32,28.01,3.7845e+24,23.00,20.74,32.00,9.3950e+19,0.00,0.00,4.00,0.0000e+00,0.00,0.00,1.01,4.5557e+19,0.00,0.00,16.04,0.0000e+00,0.00,0.00,14.01,0.0000e+00,0.00,0.00,16.00,6.8563e+17,0.00,0.00,48.00,6.5960e+18,0.00,0.00,44.01,1.7660e+23,0.60,0.97,18.02,-0.1,0.35,2.827e+02,0.1,0.15,7.141e+04,-0.0,0.2,-0.2,4.5,-1.1,0.0,0.2,0.2,3.3,2.3,0.1,0.0,0.1,2.6,0.7,0.1,0.3,0.3,2.3,1.6,274.40,3.1,6.836e+02,1.415e+02,5.232e-03,0.0,56.4,13.6,7.4,3.4,0.2,4.72,1.77,300.31,74.80,0.00,0.00,1.160e+00,1.35,3.77,2.20,2.11,-0.0,0.000,0.00,0.0,0.00002,-2.84,5.84,0.12004,0.067,0.00011,200.0,3.000,0.20,200.0,164.0,3.24,1.000,1.039,-165.89,-63.2,-66.9,66.9,0,0
0.0,4.000,0.00,0.00,6382.137,6378.137,9.768,277.7,6.318e+04,7.905e-01,8.181,9.751,334.1,1.011e+05,0.625,3.847,262.2,6.166e+04,8.193e-01,0.0,7.877e-01,7.934e-01,7.940e-01,0.4,0.36,333.6,0.00,-3.5,-3.9,-3.2,-3.1,-7.1,-0.8,-0.014,0.9,1.2,-0.747,-6.2,0.5,-0.761,4.2,2.7,0.540,280.06,-22.92,165.89,0.94,153.17,0.00,0.98,86400.0,1.6479e+25,2.878e+02,1.396e+00,28.894,1.0001,1.5288e+23,1.28,0.93,39.95,6.7271e+21,0.06,0.04,44.01,2.9146e+18,0.00,0.00,28.01,1.2781e+25,75.20,77.56,28.01,3.4287e+24,23.04,20.81,32.00,8.5116e+19,0.00,0.00,4.00,0.0000e+00,0.00,0.00,1.01,4.1273e+19,0.00,0.00,16.04,0.0000e+00,0.00,0.00,14.01,0.0000e+00,0.00,0.00,16.00,6.2757e+17,0.00,0.00,48.00,5.9759e+18,0.00,0.00,44.01,1.0907e+23,0.41,0.66,18.02,-0.3,0.39,2.769e+02,0.1,0.15,6.326e+04,0.0,0.3,-0.3,-1.8,0.3,0.0,0.2,0.2,3.4,2.2,0.1,0.1,0.0,2.7,0.9,0.1,0.3,0.3,2.4,1.5,267.44,4.0,4.154e+02,1.178e+02,3.241e-03,0.0,49.9,15.7,7.9,3.7,0.1,4.72,1.77,300.31,74.80,0.00,0.00,1.160e+00,1.35,3.77,2.20,2.11,-0.0,0.000,0.00,0.0,0.00002,-2.84,5.84,0.12004,0.067,0.00011,200.0,3.000,0.20,200.0,164.0,3.24,1.000,1.039,-165.89,-63.2,-66.9,66.9,0,0
0.0,5.000,0.00,0.00,6383.137,6378.137,9.765,272.4,5.583e+04,7.127e-01,8.023,9.457,331.0,1.011e+05,0.552,4.764,255.7,5.405e+04,7.364e-01,0.0,7.099e-01,7.154e-01,7.165e-01,0.5,0.39,330.4,0.00,-3.2,-3.6,-2.8,-2.7,-7.2,-0.2,-0.005,0.6,2.4,-0.440,-6.6,2.2,-0.445,4.6,2.9,0.630,280.06,-22.92,165.89,0.94,153.17,0.00,0.98,86400.0,1.4844e+25,2.876e+02,1.399e+00,28.916,1.0001,1.3800e+23,1.28,0.93,39.95,6.0723e+21,0.06,0.04,44.01,2.6108e+18,0.00,0.00,28.01,1.1537e+25,75.29,77.72,28.01,3.0950e+24,23.07,20.85,32.00,7.6831e+19,0.00,0.00,4.00,0.0000e+00,0.00,0.00,1.01,3.7256e+19,0.00,0.00,16.04,0.0000e+00,0.00,0.00,14.01,0.0000e+00,0.00,0.00,16.00,5.9587e+17,0.00,0.00,48.00,5.3942e+18,0.00,0.00,44.01,6.8134e+22,0.29,0.46,18.02,-0.4,0.40,2.714e+02,0.1,0.16,5.591e+04,0.0,0.3,-0.3,-2.1,1.4,0.0,0.2,0.2,3.8,2.4,0.1,0.2,-0.1,2.7,1.0,0.2,0.3,0.3,2.6,1.6,260.72,5.4,2.551e+02,9.496e+01,2.029e-03,0.0,44.8,17.9,8.1,3.9,0.1,4.72,1.77,300.31,74.80,0.00,0.00,1.160e+00,1.35,3.77,2.20,2.11,-0.0,0.000,0.00,0.0,0.00002,-2.84,5.84,0.12004,0.067,0.00011,200.0,3.000,0.20,200.0,164.0,3.24,1.000,1.039,-165.89,-63.2,-66.9,66.9,0,0
0.0,6.000,0.00,0.00,6384.137,6378.137,9.762,267.2,4.924e+04,6.412e-01,7.867,9.505,327.9,1.011e+05,0.487,5.659,249.2,4.722e+04,6.601e-01,0.0,6.387e-01,6.437e-01,6.466e-01,0.8,0.39,326.7,0.00,-2.9,-3.2,-2.5,-2.0,-6.9,-0.0,0.006,3.5,1.7,0.104,-3.4,1.6,0.110,5.1,3.3,0.630,280.06,-22.92,165.89,0.94,153.17,0.00,0.98,86400.0,1.3348e+25,2.874e+02,1.400e+00,28.931,1.0001,1.2427e+23,1.29,0.93,39.95,5.4680e+21,0.06,0.04,44.01,2.3329e+18,0.00,0.00,28.01,1.0389e+25,75.36,77.83,28.01,2.7870e+24,23.09,20.88,32.00,6.9185e+19,0.00,0.00,4.00,0.0000e+00,0.00,0.00,1.01,3.3548e+19,0.00,0.00,16.04,0.0000e+00,0.00,0.00,14.01,0.0000e+00,0.00,0.00,16.00,5.6407e+17,0.00,0.00,48.00,4.8573e+18,0.00,0.00,44.01,4.2263e+22,0.20,0.32,18.02,-0.7,0.40,2.653e+02,0.1,0.18,4.931e+04,0.0,0.5,-0.6,0.9,0.4,0.0,0.2,0.2,4.2,2.7,0.1,0.3,-0.1,2.6,1.3,0.2,0.3,0.3,2.9,1.9,254.04,7.1,1.554e+02,7.584e+01,1.260e-03,0.0,40.3,20.2,8.3,4.0,-0.0,4.72,1.77,300.31,74.80,0.00,0.00,1.160e+00,1.35,3.77,2.20,2.11,-0.0,0.000,0.00,0.0,0.00002,-2.84,5.84,0.12004,0.067,0.00011,200.0,3.000,0.20,200.0,164.0,3.24,1.000,1.039,-165.89,-63.2,-66.9,66.9,0,0
0.0,7.000,0.00,0.00,6385.137,6378.137,9.759,261.4,4.329e+04,5.765e-01,7.695,9.296,324.4,1.011e+05,0.428,6.527,242.7,4.111e+04,5.900e-01,0.0,5.741e-01,5.789e-01,5.811e-01,0.8,0.41,323.3,0.00,-2.3,-2.7,-1.9,-1.5,-5.9,-0.2,0.002,2.8,3.7,-0.156,-3.2,3.6,-0.154,5.2,3.4,0.630,280.06,-22.92,165.89,0.94,153.17,0.00,0.98,86400.0,1.1996e+25,2.873e+02,1.401e+00,28.946,1.0001,1.1182e+23,1.29,0.93,39.95,4.9205e+21,0.06,0.04,44.01,2.0342e+18,0.00,0.00,28.01,9.3486e+24,75.42,77.93,28.01,2.5079e+24,23.11,20.91,32.00,6.2258e+19,0.00,0.00,4.00,0.0000e+00,0.00,0.00,1.01,3.0189e+19,0.00,0.00,16.04,0.0000e+00,0.00,0.00,14.01,0.0000e+00,0.00,0.00,16.00,5.3325e+17,0.00,0.00,48.00,4.3710e+18,0.00,0.00,44.01,2.2370e+22,0.12,0.19,18.02,-0.7,0.42,2.596e+02,0.1,0.20,4.334e+04,0.0,0.4,-0.5,0.8,1.9,0.0,0.2,0.2,4.3,2.8,0.1,0.4,-0.2,1.9,1.9,0.2,0.3,0.3,3.0,2.0,246.15,7.7,8.058e+01,5.034e+01,6.680e-04,0.0,33.6,19.8,7.8,3.9,0.0,4.72,1.77,300.31,74.80,0.00,0.00,1.160e+00,1.35,3.77,2.20,2.11,-0.0,0.000,0.00,0.0,0.00002,-2.84,5.84,0.12004,0.067,0.00011,200.0,3.000,0.20,200.0,164.0,3.24,1.000,1.039,-165.89,-63.2,-66.9,66.9,0,0
0.0,8.000,0.00,0.00,6386.137,6378.137,9.756,255.0,3.796e+04,5.184e-01,7.505,9.604,320.3,1.011e+05,0.375,7.353,236.2,3.565e+04,5.258e-01,0.0,5.162e-01,5.206e-01,5.222e-01,0.7,0.43,319.3,0.00,-1.4,-1.8,-1.0,-0.7,-4.7,-0.3,-0.001,4.1,3.0,-0.393,-0.6,2.7,-0.394,5.5,3.7,0.630,280.06,-22.92,165.89,0.94,153.17,0.00,0.98,86400.0,1.0783e+25,2.872e+02,1.402e+00,28.953,1.0001,1.0059e+23,1.29,0.93,39.95,4.4264e+21,0.06,0.04,44.01,1.7421e+18,0.00,0.00,28.01,8.4097e+24,75.46,77.99,28.01,2.2560e+24,23.12,20.92,32.00,5.6005e+19,0.00,0.00,4.00,0.0000e+00,0.00,0.00,1.01,2.7157e+19,0.00,0.00,16.04,0.0000e+00,0.00,0.00,14.01,0.0000e+00,0.00,0.00,16.00,5.0470e+17,0.00,0.00,48.00,3.9320e+18,0.00,0.00,44.01,1.2435e+22,0.07,0.12,18.02,-0.6,0.43,2.533e+02,0.1,0.23,3.799e+04,-0.0,0.3,-0.4,2.9,0.6,0.0,0.3,0.3,4.5,3.1,0.1,0.4,-0.3,1.2,2.4,0.2,0.3,0.3,3.1,2.1,239.29,7.8,4.372e+01,3.031e+01,3.716e-04,0.0,30.8,20.3,7.4,3.8,0.1,4.72,1.77,300.31,74.80,0.00,0.00,1.160e+00,1.35,3.77,2.20,2.11,-0.0,0.000,0.00,0.0,0.00002,-2.84,5.84,0.12004,0.067,0.00011,200.0,3.000,0.20,200.0,164.0,3.24,1.000,1.039,-165.89,-63.2,-66.9,66.9,0,0
0.0,9.000,0.00,0.00,6387.137,6378.137,9.753,247.6,3.315e+04,4.663e-01,7.289,9.328,315.7,1.011e+05,0.328,8.129,229.7,3.080e+04,4.671e-01,0.0,4.642e-01,4.683e-01,4.694e-01,0.7,0.45,314.7,0.00,-0.2,-0.6,0.3,0.5,-3.1,-0.6,-0.001,-0.9,3.7,-0.522,-4.0,3.2,-0.523,6.0,4.2,0.630,280.06,-22.92,165.89,0.94,153.17,0.00,0.98,86400.0,9.6972e+24,2.871e+02,1.402e+00,28.958,1.0001,9.0497e+22,1.29,0.93,39.95,3.9821e+21,0.06,0.04,44.01,1.4355e+18,0.00,0.00,28.01,7.5656e+24,75.47,78.02,28.01,2.0296e+24,23.13,20.93,32.00,5.0384e+19,0.00,0.00,4.00,0.0000e+00,0.00,0.00,1.01,2.4288e+19,0.00,0.00,16.04,0.0000e+00,0.00,0.00,14.01,0.0000e+00,0.00,0.00,16.00,5.0446e+17,0.00,0.00,48.00,3.5374e+18,0.00,0.00,44.01,7.4611e+21,0.05,0.08,18.02,-0.6,0.45,2.460e+02,0.0,0.27,3.316e+04,-0.0,0.3,-0.3,-1.2,1.1,0.0,0.3,0.3,4.9,3.4,0.0,0.4,-0.3,0.3,2.6,0.3,0.3,0.3,3.4,2.4,234.04,7.2,2.548e+01,1.890e+01,2.230e-04,0.0,34.5,21.9,7.2,3.8,0.1,4.72,1.77,300.31,74.80,0.00,0.00,1.160e+00,1.35,3.77,2.20,2.11,-0.0,0.000,0.00,0.0,0.00002,-2.84,5.84,0.12004,0.067,0.00011,200.0,3.000,0.20,200.0,164.0,3.24,1.000,1.039,-165.89,-63.2,-66.9,66.9,0,0
